product_id,product_name,category,brand,cost_price,base_price,specs
PROD-60325,Lenovo ,Tablet,Lenovo,489.35,979.54,
PROD-57870,Nikon ,Camera,Nikon,438.59,593.09,
PROD-03866,Fujifilm ,Camera,Fujifilm,414.3,781.29,
PROD-10842,Nikon ,Camera,Nikon,1485.7,3186.38,
PROD-39590,OnePlus Nord 3,Smartphone,OnePlus,489.3,905.44,Snapdragon 8 Gen2
PROD-04371,Apple ,Tablet,Apple,688.77,1274.68,
PROD-60647,OnePlus Pixel 8,Smartphone,OnePlus,1951.45,3208.6,120Hz AMOLED
PROD-10642,Lenovo ZenBook,Laptop,Lenovo,1740.89,2969.0,Ryzen 7 6800U
PROD-44500,Apple ,Tablet,Apple,1936.42,3926.2,
PROD-85137,HP MacBook Pro,Laptop,HP,330.69,501.63,1TB SSD
PROD-33186,Lenovo ,Tablet,Lenovo,1691.41,2462.74,
PROD-86175,Apple MacBook Pro,Laptop,Apple,487.14,769.94,Ryzen 7 6800U
PROD-21685,Lenovo ,Tablet,Lenovo,1943.73,3882.83,
PROD-75092,Apple Nord 3,Smartphone,Apple,1805.43,2420.55,120Hz AMOLED
PROD-23132,GoPro ,Camera,GoPro,652.0,1333.9,
PROD-47636,Samsung Nord 3,Smartphone,Samsung,669.73,1037.01,Snapdragon 8 Gen2
PROD-02751,Canon ,Camera,Canon,178.93,300.79,
PROD-62653,Apple ThinkPad X1,Laptop,Apple,692.95,1024.84,32GB DDR5
PROD-81330,Sony ,Headphones,Sony,1271.03,2711.96,
PROD-78403,Samsung Galaxy S23,Smartphone,Samsung,1842.68,3429.17,A16 Bionic
PROD-24513,Asus ThinkPad X1,Laptop,Asus,1499.77,2707.26,32GB DDR5
PROD-76239,Sony ,Camera,Sony,1557.45,2811.43,
PROD-79309,Sony ,Headphones,Sony,1464.73,2050.33,
PROD-27901,Lenovo ,Tablet,Lenovo,523.18,1101.92,
PROD-68082,Apple MacBook Pro,Laptop,Apple,1192.06,2523.36,RTX 3050
PROD-01322,Sennheiser ,Headphones,Sennheiser,573.28,784.98,
PROD-60502,JBL ,Headphones,JBL,448.26,957.81,
PROD-75769,Canon ,Camera,Canon,345.16,590.53,
PROD-80470,Amazon ,Tablet,Amazon,920.54,1928.49,
PROD-47193,OnePlus Galaxy S23,Smartphone,OnePlus,809.15,1250.07,50MP camera
PROD-14789,Apple ThinkPad X1,Laptop,Apple,802.25,1047.94,32GB DDR5
